OCC2010	OccGroup	Occupation
5920	OFFICE AND ADMINISTRATIVE SUPPORT	Statistical Assistants
5940	OFFICE AND ADMINISTRATIVE SUPPORT	Office and administrative support workers, nec
6005	FARMING, FISHING, AND FORESTRY	First-Line Supervisors of Farming, Fishing, and Forestry Workers
6010	FARMING, FISHING, AND FORESTRY	Agricultural Inspectors
6040	FARMING, FISHING, AND FORESTRY	Graders and Sorters, Agricultural Products
6050	FARMING, FISHING, AND FORESTRY	Agricultural workers, nec
6100	FARMING, FISHING, AND FORESTRY	Fishing and hunting workers
6120	FARMING, FISHING, AND FORESTRY	Forest and Conservation Workers
6130	FARMING, FISHING, AND FORESTRY	Logging Workers
6200	CONSTRUCTION	First-Line Supervisors of Construction Trades and Extraction Workers
6210	CONSTRUCTION	Boilermakers
6220	CONSTRUCTION	Brickmasons, Blockmasons, and Stonemasons
6230	CONSTRUCTION	Carpenters
6240	CONSTRUCTION	Carpet, Floor, and Tile Installers and Finishers
6250	CONSTRUCTION	Cement Masons, Concrete Finishers, and Terrazzo Workers
6260	CONSTRUCTION	Construction Laborers
6300	CONSTRUCTION	Paving, Surfacing, and Tamping Equipment Operators
6320	CONSTRUCTION	Construction equipment operators except paving, surfacing, and tamping equipment operators
6330	CONSTRUCTION	Drywall Installers, Ceiling Tile Installers, and Tapers
6355	CONSTRUCTION	Electricians
6360	CONSTRUCTION	Glaziers
6400	CONSTRUCTION	Insulation Workers
6420	CONSTRUCTION	Painters, Construction and Maintenance
6430	CONSTRUCTION	Paperhangers
6440	CONSTRUCTION	Pipelayers, Plumbers, Pipefitters, and Steamfitters
6460	CONSTRUCTION	Plasterers and Stucco Masons
6500	CONSTRUCTION	Reinforcing Iron and Rebar Workers
6515	CONSTRUCTION	Roofers
6520	CONSTRUCTION	Sheet Metal Workers, metal-working
6530	CONSTRUCTION	Structural Iron and Steel Workers
6600	CONSTRUCTION	Helpers, Construction Trades
6660	CONSTRUCTION	Construction and Building Inspectors
6700	CONSTRUCTION	Elevator Installers and Repairers
6710	CONSTRUCTION	Fence Erectors
6720	CONSTRUCTION	Hazardous Materials Removal Workers
6730	CONSTRUCTION	Highway Maintenance Workers
6740	CONSTRUCTION	Rail-Track Laying and Maintenance Equipment Operators
6765	CONSTRUCTION	Construction workers, nec
6800	EXTRACTION	Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining
6820	EXTRACTION	Earth Drillers, Except Oil and Gas
6830	EXTRACTION	Explosives Workers, Ordnance Handling Experts, and Blasters
6840	EXTRACTION	Mining Machine Operators
6940	EXTRACTION	Extraction workers, nec
7000	INSTALLATION, MAINTENANCE, AND REPAIR	First-Line Supervisors of Mechanics, Installers, and Repairers
7010	INSTALLATION, MAINTENANCE, AND REPAIR	Computer, Automated Teller, and Office Machine Repairers
7020	INSTALLATION, MAINTENANCE, AND REPAIR	Radio and Telecommunications Equipment Installers and Repairers
7030	INSTALLATION, MAINTENANCE, AND REPAIR	Avionics Technicians
7040	INSTALLATION, MAINTENANCE, AND REPAIR	Electric Motor, Power Tool, and Related Repairers
7100	INSTALLATION, MAINTENANCE, AND REPAIR	Electrical and electronics repairers, transportation equipment, and industrial and utility
7110	INSTALLATION, MAINTENANCE, AND REPAIR	Electronic Equipment Installers and Repairers, Motor Vehicles
7120	INSTALLATION, MAINTENANCE, AND REPAIR	Electronic Home Entertainment Equipment Installers and Repairers
7125	INSTALLATION, MAINTENANCE, AND REPAIR	Electronic Repairs, nec
7130	INSTALLATION, MAINTENANCE, AND REPAIR	Security and Fire Alarm Systems Installers
7140	INSTALLATION, MAINTENANCE, AND REPAIR	Aircraft Mechanics and Service Technicians
7150	INSTALLATION, MAINTENANCE, AND REPAIR	Automotive Body and Related Repairers
7160	INSTALLATION, MAINTENANCE, AND REPAIR	Automotive Glass Installers and Repairers
7200	INSTALLATION, MAINTENANCE, AND REPAIR	Automotive Service Technicians and Mechanics
7210	INSTALLATION, MAINTENANCE, AND REPAIR	Bus and Truck Mechanics and Diesel Engine Specialists
7220	INSTALLATION, MAINTENANCE, AND REPAIR	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
7240	INSTALLATION, MAINTENANCE, AND REPAIR	Small Engine Mechanics
7260	INSTALLATION, MAINTENANCE, AND REPAIR	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec
7300	INSTALLATION, MAINTENANCE, AND REPAIR	Control and Valve Installers and Repairers
7315	INSTALLATION, MAINTENANCE, AND REPAIR	Heating, Air Conditioning, and Refrigeration Mechanics and Installers
7320	INSTALLATION, MAINTENANCE, AND REPAIR	Home Appliance Repairers
7330	INSTALLATION, MAINTENANCE, AND REPAIR	Industrial and Refractory Machinery Mechanics
7340	INSTALLATION, MAINTENANCE, AND REPAIR	Maintenance and Repair Workers, General
7350	INSTALLATION, MAINTENANCE, AND REPAIR	Maintenance Workers, Machinery
7360	INSTALLATION, MAINTENANCE, AND REPAIR	Millwrights
7410	INSTALLATION, MAINTENANCE, AND REPAIR	Electrical Power-Line Installers and Repairers
7420	INSTALLATION, MAINTENANCE, AND REPAIR	Telecommunications Line Installers and Repairers
7430	INSTALLATION, MAINTENANCE, AND REPAIR	Precision Instrument and Equipment Repairers
7510	INSTALLATION, MAINTENANCE, AND REPAIR	Coin, Vending, and Amusement Machine Servicers and Repairers
7540	INSTALLATION, MAINTENANCE, AND REPAIR	Locksmiths and Safe Repairers
7550	INSTALLATION, MAINTENANCE, AND REPAIR	Manufactured Building and Mobile Home Installers
7560	INSTALLATION, MAINTENANCE, AND REPAIR	Riggers
7610	INSTALLATION, MAINTENANCE, AND REPAIR	Helpers--Installation, Maintenance, and Repair Workers
7630	INSTALLATION, MAINTENANCE, AND REPAIR	Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers
